Customer ID,Gender,Age,Years with Firm,Active on Social Media,Average Transactions per Month,RFM Score,Credit Balance (AED),Customer Bio,Customer Name,Customer Username,Profile Picture on Social Media,Number of Referrals,Payback Status
CUST0276,Male,48,5,No,4.78,4,724,"Avid reader, tech enthusiast, and fitness lover",Customer 276,user_276,Yes,9,10
CUST0277,Male,47,2,No,15.97,3,147,Love,Customer 277,customer277,Yes,5,1
CUST0278,Male,53,4,Yes,7.74,1,113,Enjoying,Customer 278,user_278,No,9,Default
CUST0279,Female,42,4,Yes,15.13,1,19,Tech geek,Customer 279,user_279,Yes,5,Default
CUST0280,Female,40,0,Yes,5.75,4,812,Creative thinker who enjoys innovation and challenges,Customer 280,customer280,Yes,3,12
CUST0281,Female,28,0,Yes,10.35,4,677,Tech geek who loves exploring cutting-edge solutions,Customer 281,customer281,Yes,8,8
CUST0282,Male,23,4,Yes,2.83,5,414,Always learning and sharing my experiences,Customer 282,customer282,Yes,1,4
CUST0283,Female,37,2,No,11.08,2,198,Shopaholic,Customer 283,user_283,No,9,Default
CUST0284,Female,57,7,No,17.4,2,141,Love,Customer 284,user_284,No,9,Default
CUST0285,Male,42,6,No,16.32,3,913,Enjoying,Customer 285,user_285,Yes,8,1
CUST0286,Male,22,1,No,14.8,1,242,Love,Customer 286,user_286,No,2,7
CUST0287,Male,24,7,No,5.9,4,138,"Avid reader, tech enthusiast, and fitness lover",Customer 287,user_287,Yes,0,11
CUST0288,Female,32,3,No,2.22,1,519,Love,Customer 288,customer288,No,4,Default
CUST0289,Female,17,7,No,10.58,4,959,Always learning and sharing my experiences,Customer 289,customer289,Yes,4,9
CUST0290,Male,53,0,Yes,16.29,4,653,"Avid reader, tech enthusiast, and fitness lover",Customer 290,user_290,Yes,8,6
CUST0291,Male,56,9,Yes,11.02,2,848,Love,Customer 291,user_291,No,7,Default
CUST0292,Female,60,7,No,5.61,3,62,Fitness,Customer 292,user_292,Yes,1,1
CUST0293,Male,51,9,Yes,11.25,2,265,Love,Customer 293,customer293,No,1,Default
CUST0294,Female,38,6,No,12.74,2,63,Love,Customer 294,user_294,No,3,Default
CUST0295,Male,40,3,No,7.11,2,26,Traveler,Customer 295,user_295,No,5,7
CUST0296,Male,53,7,No,7.72,5,383,Creative thinker who enjoys innovation and challenges,Customer 296,customer296,Yes,5,9
CUST0297,Male,22,4,No,16.5,3,214,Love,Customer 297,user_297,Yes,6,4
CUST0298,Female,31,7,No,1.24,,904,Traveler,Customer 298,user_298,No,0,4
CUST0299,Male,28,10,No,18.89,4,329,Creative thinker who enjoys innovation and challenges,Customer 299,user_299,Yes,9,10
CUST0300,Female,55,8,Yes,13.31,1,531,Enjoying the small moments,Customer 300,user_300,Yes,8,6
CUST0301,Male,23,10,Yes,19.52,1,444,Passionate about photography,Customer 301,customer301,No,5,8
CUST0302,Female,54,2,Yes,1.19,4,504,Loves exploring new cuisines and traveling the world,Customer 302,user_302,Yes,9,5
CUST0303,Male,45,9,Yes,13.86,4,962,Passionate about sustainable living and healthy eating,Customer 303,user_303,Yes,8,1
CUST0304,Female,56,9,Yes,3.77,1,558,Always learning,Customer 304,user_304,No,3,Default
CUST0305,Male,38,10,Yes,8.91,2,928,Love,Customer 305,user_305,No,6,Default
CUST0306,Male,42,1,No,15.33,5,178,"Foodie, traveler, and passionate about personal growth",Customer 306,user_306,Yes,5,6
CUST0307,Female,33,8,No,2.87,1,469,Shopaholic and proud,Customer 307,user_307,Yes,3,1
CUST0308,Male,50,4,Yes,8.24,1,14,Love exploring new places,Customer 308,user_308,Yes,10,Default
CUST0309,Female,46,0,Yes,2.32,4,625,"Avid reader, tech enthusiast, and fitness lover",Customer 309,customer309,Yes,10,3
CUST0310,Female,62,6,No,15.81,2,514,Always learning,Customer 310,user_310,No,0,Default
CUST0311,Female,49,7,Yes,16.72,2,286,Shopaholic and proud,Customer 311,customer311,Yes,10,Default
CUST0312,Female,31,1,No,14.61,2,412,Traveler,Customer 312,user_312,No,8,Default
CUST0313,Female,29,9,No,10.44,,55,Traveler,Customer 313,customer313,Yes,10,3
CUST0314,Male,58,6,No,19.2,1,434,Foodie,Customer 314,user_314,No,3,Default
CUST0315,Male,59,3,Yes,3.75,1,874,Bookworm,Customer 315,user_315,Yes,0,Default
CUST0316,Male,57,4,Yes,6.94,2,912,Enjoying the small moments,Customer 316,user_316,Yes,4,Default
CUST0317,Male,53,7,No,16.42,5,229,Adventure seeker and nature enthusiast,Customer 317,customer317,Yes,2,4
CUST0318,Male,49,5,Yes,9.98,2,748,Love,Customer 318,user_318,No,5,8
CUST0319,Male,59,0,No,19.1,2,685,Fitness enthusiast,Customer 319,user_319,No,9,Default
CUST0320,Male,51,10,No,3.12,4,867,Fitness fanatic with a love for outdoor adventures,Customer 320,user_320,Yes,2,5
CUST0321,Male,24,5,Yes,13.52,5,554,Always learning and sharing my experiences,Customer 321,user_321,Yes,10,9
CUST0322,Female,27,5,No,4.7,3,835,Enjoying,Customer 322,customer322,Yes,10,6
CUST0323,Female,51,1,Yes,19.67,,436,,Customer 323,user_323,Yes,1,Default
CUST0324,Male,51,4,Yes,9.08,2,689,Traveler,Customer 324,user_324,No,5,12
CUST0325,Female,35,2,Yes,102162.445,3,202,Enjoying,Customer 325,user_325,Yes,6,7
CUST0326,Male,20,9,Yes,2.9,4,904,Loves exploring new cuisines and traveling the world,Customer 326,user_326,Yes,6,4
CUST0327,Male,23,4,No,5.96,5,456,Always learning and sharing my experiences,Customer 327,user_327,Yes,1,8
CUST0328,Female,39,2,No,9.62,5,195,"Loves photography, music, and exploring new cultures",Customer 328,user_328,Yes,8,4
CUST0329,Male,34,7,No,19,4,177,"Loves photography, music, and exploring new cultures",Customer 329,customer329,Yes,9,11
CUST0330,Male,39,5,Yes,11.22,4,263,Tech geek who loves exploring cutting-edge solutions,Customer 330,user_330,Yes,4,6
CUST0331,Female,24,5,Yes,18.63,5,154,Fitness fanatic with a love for outdoor adventures,Customer 331,user_331,Yes,1,5
CUST0332,Male,22,7,Yes,9.43,2,654,Music lover,Customer 332,customer332,No,2,3
CUST0333,Male,41,6,Yes,15.54,1,578,,Customer 333,user_333,Yes,3,Default
CUST0334,Male,35,8,No,10.95,2,924,Traveler,Customer 334,customer334,No,2,Default
CUST0335,Female,34,10,No,2.46,5,750,Creative thinker who enjoys innovation and challenges,Customer 335,user_335,Yes,7,10
CUST0336,Male,50,1,No,17.5,3,750,Traveler,Customer 336,user_336,Yes,0,9
CUST0337,Female,62,9,Yes,7.94,1,221,Foodie,Customer 337,user_337,No,1,Default
CUST0338,Female,50,5,No,1.14,1,14,Traveler,Customer 338,user_338,No,8,Default
CUST0339,Male,45,10,No,7.09,2,10,Love exploring new places,Customer 339,user_339,No,6,Default
CUST0340,Female,18,7,No,8.35,1,455,Always learning,Customer 340,user_340,Yes,1,Default
CUST0341,Female,17,0,Yes,12.19,2,443,Foodie,Customer 341,user_341,No,8,10
CUST0342,Female,26,8,No,18.57,2,235,Shopaholic and proud,Customer 342,user_342,No,9,Default
CUST0343,Female,36,5,No,6.48,,628,Enjoying,Customer 343,user_343,Yes,7,4
CUST0344,Male,37,7,Yes,8.03,4,295,Passionate about sustainable living and healthy eating,Customer 344,user_344,Yes,1,8
CUST0345,Female,46,10,No,18.03,1,93,Traveler,Customer 345,customer345,No,6,Default
CUST0346,Male,48,0,Yes,15.46,3,445,Fitness,Customer 346,user_346,Yes,4,5
CUST0347,Female,62,7,Yes,4.76,1,324,Foodie,Customer 347,customer347,No,5,Default
CUST0348,Female,34,8,Yes,19.87,2,695,Tech geek,Customer 348,user_348,No,4,7
CUST0349,Male,63,0,Yes,15.34,2,818,Foodie,Customer 349,user_349,No,7,7
CUST0350,Female,39,8,Yes,9.36,3,605,Traveler,Customer 350,user_350,Yes,8,7
CUST0351,Female,62,3,Yes,1.32,3,789,Shopaholic,Customer 351,user_351,Yes,7,9
CUST0352,Female,51,1,Yes,12.22,3,510,Shopaholic,Customer 352,user_352,Yes,3,8
CUST0353,Male,50,8,Yes,1.62,2,844,Enjoying,Customer 353,user_353,No,0,Default
CUST0354,Male,33,9,Yes,6.71,5,961,"Foodie, traveler, and passionate about personal growth",Customer 354,user_354,Yes,0,1
CUST0355,Female,61,0,No,2.81,1,46,Tech geek,Customer 355,user_355,No,1,Default
CUST0356,Male,43,10,No,5.16,4,122,Always learning and sharing my experiences,Customer 356,user_356,Yes,8,4
CUST0357,Female,61,10,No,5.55,1,418,Enjoying,Customer 357,user_357,No,7,Default
CUST0358,Female,28,7,Yes,8.46,2,818,Foodie,Customer 358,user_358,No,10,11
CUST0359,Male,61,1,No,6.91,2,470,Fitness,Customer 359,user_359,No,5,Default
CUST0360,Male,45,9,Yes,5.67,4,776,Loves exploring new cuisines and traveling the world,Customer 360,user_360,Yes,3,8
CUST0361,Male,42,7,Yes,1.62,5,504,Fitness fanatic with a love for outdoor adventures,Customer 361,user_361,Yes,8,4
CUST0362,Female,62,7,Yes,10.28,2,303,Enjoying,Customer 362,customer362,No,1,Default
CUST0363,Female,36,6,Yes,13.46,4,478,"Avid reader, tech enthusiast, and fitness lover",Customer 363,customer363,Yes,3,12
CUST0364,Male,24,6,No,2.93,4,456,Fitness fanatic with a love for outdoor adventures,Customer 364,user_364,Yes,0,4
CUST0365,Female,29,0,No,2.96,5,264,Always learning and sharing my experiences,Customer 365,user_365,Yes,2,2
CUST0366,Male,56,8,Yes,5.48,2,891,Shopaholic and proud,Customer 366,user_366,Yes,5,Default
CUST0367,Male,25,7,Yes,2.39,2,340,Love,Customer 367,user_367,No,9,Default
CUST0368,Female,17,5,Yes,9.09,3,526,Foodie,Customer 368,user_368,Yes,0,10
CUST0369,Female,26,8,Yes,2.26,4,471,Fitness fanatic with a love for outdoor adventures,Customer 369,user_369,Yes,3,11
CUST0370,Female,38,6,Yes,7.72,4,583,Fitness fanatic with a love for outdoor adventures,Customer 370,customer370,Yes,4,4
CUST0371,Male,29,6,Yes,6.79,2,110,Shopaholic,Customer 371,customer371,No,2,Default
CUST0372,Female,50,8,No,11.23,2,159,Bookworm,Customer 372,user_372,Yes,2,Default
CUST0373,Female,64,8,No,14.88,4,865,Passionate about sustainable living and healthy eating,Customer 373,user_373,Yes,0,9
CUST0374,Female,57,8,Yes,7.38,2,291,Foodie,Customer 374,user_374,No,5,Default
CUST0375,Male,27,9,Yes,7.63,5,85,Fitness fanatic with a love for outdoor adventures,Customer 375,customer375,Yes,1,4
CUST0376,Female,58,7,Yes,8.58,2,94,Traveler,Customer 376,user_376,No,7,Default
CUST0377,Male,30,1,No,19.21,5,385,Fitness fanatic with a love for outdoor adventures,Customer 377,user_377,Yes,0,8
CUST0378,Male,17,1,No,6.31,2,838,Foodie,Customer 378,user_378,No,7,Default
CUST0379,Female,26,9,Yes,14.41,1,174,Shopaholic,Customer 379,user_379,No,6,2
CUST0380,Male,38,9,No,10.77,2,774,,Customer 380,user_380,Yes,1,Default
CUST0381,Female,64,4,No,1.13,4,922,Fitness fanatic with a love for outdoor adventures,Customer 381,user_381,Yes,0,6
CUST0382,Female,18,8,No,6.69,2,709,Passionate about photography,Customer 382,user_382,No,7,Default
CUST0383,Female,56,7,No,14.04,3,885,Fitness,Customer 383,user_383,Yes,0,4
CUST0384,Male,61,2,Yes,14.03,1,229,Fitness,Customer 384,user_384,No,6,Default
CUST0385,Female,42,1,No,6.76,5,514,Adventure seeker and nature enthusiast,Customer 385,user_385,Yes,2,1
CUST0386,Female,45,9,No,11.23,,842,Shopaholic,Customer 386,user_386,No,5,Default
CUST0387,Male,43,10,No,8.74,2,741,Fitness,Customer 387,user_387,No,4,Default
CUST0388,Female,27,1,No,16.58,4,525,Passionate about sustainable living and healthy eating,Customer 388,user_388,Yes,0,4
CUST0389,Female,21,0,No,16.93,4,64,Adventure seeker and nature enthusiast,Customer 389,customer389,Yes,3,7
CUST0390,Female,43,8,Yes,18.07,3,456,Shopaholic,Customer 390,user_390,Yes,4,10
CUST0391,Female,42,4,Yes,4.23,5,303,"Avid reader, tech enthusiast, and fitness lover",Customer 391,user_391,Yes,10,3
CUST0392,Male,19,10,No,1.38,5,374,"Avid reader, tech enthusiast, and fitness lover",Customer 392,user_392,Yes,1,5
CUST0393,Male,56,10,Yes,2.51,5,488,"Loves photography, music, and exploring new cultures",Customer 393,customer393,Yes,2,12
CUST0394,Female,45,1,Yes,11.94,1,634,Love,Customer 394,user_394,No,6,Default
CUST0395,Male,26,3,Yes,14.74,2,359,,Customer 395,customer395,Yes,6,Default
CUST0396,Male,55,1,Yes,3.66,5,326,"Foodie, traveler, and passionate about personal growth",Customer 396,user_396,Yes,9,11
CUST0397,Male,53,2,Yes,18.79,2,697,Foodie,Customer 397,user_397,No,10,Default
CUST0398,Male,17,2,No,10.87,1,741,Love,Customer 398,customer398,No,0,Default
CUST0399,Male,26,2,Yes,10.78,4,389,"Foodie, traveler, and passionate about personal growth",Customer 399,user_399,Yes,4,2
CUST0400,Female,28,6,No,106284.7114,2,815,Love,Customer 400,user_400,No,9,Default
CUST0401,Female,46,1,Yes,8.53,4,422,"Avid reader, tech enthusiast, and fitness lover",Customer 401,user_401,Yes,5,4
CUST0402,Male,64,10,No,18.7,1,349,Enjoying the small moments,Customer 402,user_402,Yes,2,Default
CUST0403,Female,20,6,Yes,9.44,4,-1,Always learning and sharing my experiences,Customer 403,user_403,Yes,3,7
CUST0404,Male,63,10,No,2.46,1,96,Always learning,Customer 404,user_404,No,4,Default
CUST0405,Female,37,2,No,1.67,1,365,Enjoying,Customer 405,user_405,No,0,Default
CUST0406,Female,26,3,No,6.23,1,516,Food lover,Customer 406,user_406,Yes,10,3
CUST0407,Female,20,6,Yes,14.39,1,320,Tech geek,Customer 407,user_407,No,7,12
CUST0408,Female,59,0,Yes,7.45,2,401,Fitness,Customer 408,user_408,No,1,Default
CUST0409,Female,32,10,No,6.04,2,754,Food lover,Customer 409,user_409,No,2,Default
CUST0410,Female,20,6,Yes,14.17,,316,Enjoying,Customer 410,user_410,No,5,2
CUST0411,Male,44,7,No,2.14,1,164,,Customer 411,user_411,Yes,4,Default
CUST0412,Male,62,1,No,9.66,,75,Adventure seeker,Customer 412,user_412,Yes,9,Default
CUST0413,Female,51,3,No,13.11,2,468,Passionate about photography,Customer 413,customer413,Yes,1,4
CUST0414,Male,47,4,Yes,15.39,1,609,Enjoying the small moments,Customer 414,user_414,Yes,7,10
CUST0415,Male,32,7,Yes,13.43,1,176,Traveler and dreamer,Customer 415,user_415,No,1,Default
CUST0416,Male,45,4,Yes,11.89,2,903,Enjoying,Customer 416,customer416,No,1,Default
CUST0417,Male,31,7,No,16.26,2,571,Always learning,Customer 417,user_417,No,6,Default
CUST0418,Female,53,2,Yes,4.71,2,544,Passionate about photography,Customer 418,user_418,Yes,4,Default
CUST0419,Female,23,6,No,13.27,4,168,"Avid reader, tech enthusiast, and fitness lover",Customer 419,user_419,Yes,3,4
CUST0420,Female,37,5,Yes,6.04,4,881,"Foodie, traveler, and passionate about personal growth",Customer 420,user_420,Yes,1,2
CUST0421,Male,25,9,Yes,4.4,,843,Traveler,Customer 421,user_421,Yes,8,9
CUST0422,Female,41,1,No,8.85,1,493,Traveler,Customer 422,user_422,No,0,Default
CUST0423,Female,36,1,No,16.82,3,495,Shopaholic,Customer 423,user_423,Yes,8,7
CUST0424,Male,32,5,Yes,5.02,1,78,Foodie,Customer 424,user_424,No,7,Default
CUST0425,Female,31,9,Yes,6,2,548,Enjoying,Customer 425,user_425,No,6,Default
CUST0426,Female,62,7,Yes,4.77,4,642,"Avid reader, tech enthusiast, and fitness lover",Customer 426,user_426,Yes,0,8
CUST0427,Male,49,0,No,5.37,2,348,Love,Customer 427,user_427,No,0,3
CUST0428,Female,32,1,No,4.8,1,982,Passionate about photography,Customer 428,user_428,Yes,8,Default
CUST0429,Female,27,0,Yes,15.55,2,395,Food lover,Customer 429,user_429,Yes,9,1
CUST0430,Female,29,0,Yes,14.73,3,64,Love,Customer 430,customer430,Yes,8,12
CUST0431,Male,29,10,Yes,15.31,4,243,"Foodie, traveler, and passionate about personal growth",Customer 431,user_431,Yes,5,11
CUST0432,Male,30,2,No,16.48,1,-4,Enjoying,Customer 432,user_432,No,7,8
CUST0433,Female,44,3,Yes,2.37,,298,Passionate about photography,Customer 433,customer433,Yes,0,4
CUST0434,Male,32,1,No,15.81,1,360,Love,Customer 434,user_434,No,6,Default
CUST0435,Male,63,7,No,4.67,2,10,Enjoying,Customer 435,user_435,No,8,Default
CUST0436,Female,21,9,Yes,10.82,4,855,Adventure seeker and nature enthusiast,Customer 436,user_436,Yes,1,7
CUST0437,Male,42,2,Yes,15.66,2,446,Traveler,Customer 437,user_437,No,5,Default
CUST0438,Female,36,7,Yes,8.03,5,954,Fitness fanatic with a love for outdoor adventures,Customer 438,user_438,Yes,6,11
CUST0439,Female,49,10,No,5.87,2,414,Traveler and dreamer,Customer 439,customer439,Yes,6,4
CUST0440,Female,63,9,Yes,12.87,2,782,Bookworm,Customer 440,user_440,No,5,11
CUST0441,Female,52,9,Yes,4.03,1,403,Shopaholic,Customer 441,customer441,No,9,8
CUST0442,Male,18,5,Yes,3.3,3,271,Enjoying,Customer 442,customer442,Yes,0,3
CUST0443,Male,62,6,Yes,14.55,2,259,Love exploring new places,Customer 443,user_443,No,4,Default
CUST0444,Male,51,4,Yes,11.74,1,925,Foodie,Customer 444,user_444,No,8,Default
CUST0445,Female,21,6,No,13.1,5,273,Creative thinker who enjoys innovation and challenges,Customer 445,user_445,Yes,4,11
CUST0446,Female,24,8,Yes,17.48,3,828,Fitness,Customer 446,user_446,Yes,9,2
CUST0447,Female,36,6,Yes,17.4,3,716,Enjoying,Customer 447,user_447,Yes,5,11
CUST0448,Male,25,4,No,16.94,1,934,Love,Customer 448,user_448,No,7,8
CUST0449,Female,41,6,No,14.84,3,178,Love,Customer 449,user_449,Yes,7,11
CUST0450,Female,39,4,No,7.25,3,609,Fitness,Customer 450,user_450,Yes,8,10
CUST0451,Male,27,7,Yes,8.35,3,625,Enjoying,Customer 451,user_451,Yes,2,8
CUST0452,Female,28,4,No,1.47,4,736,"Foodie, traveler, and passionate about personal growth",Customer 452,user_452,Yes,5,12
CUST0453,Male,60,3,No,3.07,4,47,Fitness fanatic with a love for outdoor adventures,Customer 453,customer453,Yes,2,4
CUST0454,Male,52,5,Yes,4.58,4,919,Fitness fanatic with a love for outdoor adventures,Customer 454,user_454,Yes,7,4
CUST0455,Female,42,5,Yes,8.86,1,370,Foodie,Customer 455,user_455,No,8,Default
CUST0456,Female,52,3,Yes,14.41,2,802,Shopaholic,Customer 456,user_456,No,10,6
CUST0457,Male,41,10,No,8.07,2,126,Enjoying,Customer 457,user_457,No,1,Default
CUST0458,Male,44,4,Yes,8.15,1,828,Fitness,Customer 458,user_458,No,9,Default
CUST0459,Female,45,1,Yes,6.53,1,681,Foodie,Customer 459,user_459,No,10,Default
CUST0460,Male,31,2,Yes,8.11,5,296,"Avid reader, tech enthusiast, and fitness lover",Customer 460,user_460,Yes,8,8
CUST0461,Male,39,7,Yes,8.57,1,947,Shopaholic,Customer 461,customer461,No,1,11
CUST0462,Female,45,9,No,9.9,4,727,Passionate about sustainable living and healthy eating,Customer 462,user_462,Yes,2,8
CUST0463,Male,60,8,Yes,9.47,2,878,Food lover,Customer 463,user_463,No,9,1
CUST0464,Female,31,7,No,14.86,,1,Music lover,Customer 464,user_464,No,2,Default
CUST0465,Male,56,1,No,4.49,1,724,Shopaholic,Customer 465,user_465,No,10,Default
CUST0466,Male,45,0,No,2.19,1,247,Adventure seeker,Customer 466,customer466,No,9,Default
CUST0467,Male,42,1,Yes,1.79,1,227,Enjoying,Customer 467,user_467,No,8,Default
CUST0468,Male,32,1,Yes,16.14,5,104,Adventure seeker and nature enthusiast,Customer 468,user_468,Yes,6,12
CUST0469,Female,19,6,No,9.14,2,915,Adventure seeker,Customer 469,customer469,Yes,8,Default
CUST0470,Female,44,9,Yes,2.14,2,233,Shopaholic,Customer 470,user_470,No,6,Default
CUST0471,Male,50,2,No,13.45,4,453,"Foodie, traveler, and passionate about personal growth",Customer 471,user_471,Yes,6,2
CUST0472,Female,55,10,No,16.22,1,333,Shopaholic,Customer 472,user_472,No,0,Default
CUST0473,Female,20,4,Yes,18.56,2,315,Shopaholic,Customer 473,user_473,No,1,Default
CUST0474,Male,59,6,No,8.89,2,959,Tech geek,Customer 474,user_474,No,0,Default
CUST0475,Female,52,3,No,8.32,3,209,Foodie,Customer 475,customer475,Yes,3,5
CUST0476,Male,64,9,Yes,15.1,3,119,Enjoying,Customer 476,customer476,Yes,1,7
CUST0477,Male,52,2,Yes,3.49,1,289,Enjoying,Customer 477,user_477,No,9,12
CUST0478,Female,38,1,No,2.11,3,269,Traveler,Customer 478,user_478,Yes,10,1
CUST0479,Male,64,1,No,11.04,3,99,Enjoying,Customer 479,user_479,Yes,2,9
CUST0480,Male,59,1,Yes,5.43,2,895,Shopaholic,Customer 480,user_480,No,6,Default
CUST0481,Male,26,1,Yes,13.46,5,131,"Avid reader, tech enthusiast, and fitness lover",Customer 481,user_481,Yes,7,4
CUST0482,Female,58,5,No,6.45,2,587,Foodie,Customer 482,user_482,Yes,3,6
CUST0483,Female,52,5,Yes,10.08,4,626,Loves exploring new cuisines and traveling the world,Customer 483,user_483,Yes,3,4
CUST0484,Male,28,6,No,111422.1669,,419,Enjoying,Customer 484,user_484,Yes,0,1
CUST0485,Male,32,4,Yes,18.13,3,575,Enjoying,Customer 485,customer485,Yes,1,2
CUST0486,Male,21,1,Yes,6.12,4,138,Tech geek who loves exploring cutting-edge solutions,Customer 486,user_486,Yes,6,12
CUST0487,Female,35,3,Yes,18.77,1,374,Love,Customer 487,user_487,No,7,Default
CUST0488,Male,23,8,Yes,12.12,1,156,Music lover,Customer 488,user_488,No,0,8
CUST0489,Female,24,5,No,1.65,5,846,Adventure seeker and nature enthusiast,Customer 489,user_489,Yes,10,11
CUST0490,Female,42,2,Yes,18.91,1,2,Enjoying the small moments,Customer 490,user_490,Yes,7,Default
CUST0491,Female,17,3,No,14.86,2,4,Fitness,Customer 491,customer491,No,9,Default
CUST0492,Male,31,0,No,4.28,5,499,"Avid reader, tech enthusiast, and fitness lover",Customer 492,user_492,Yes,0,1
CUST0493,Male,51,1,No,7.01,1,419,Fitness,Customer 493,user_493,No,0,4
CUST0494,Male,48,1,Yes,2.94,1,387,Passionate about photography,Customer 494,user_494,No,1,Default
CUST0495,Male,18,5,Yes,16.77,2,831,Enjoying,Customer 495,user_495,No,8,Default
CUST0496,Male,57,7,Yes,1.75,2,991,,Customer 496,customer496,No,6,Default
CUST0497,Male,29,10,Yes,5.42,5,136,"Loves photography, music, and exploring new cultures",Customer 497,user_497,Yes,2,3
CUST0498,Male,48,1,No,19.55,1,310,Enjoying the small moments,Customer 498,user_498,Yes,6,Default
CUST0499,Male,24,5,No,12.75,4,812,Always learning and sharing my experiences,Customer 499,user_499,Yes,7,7
CUST0500,Female,55,2,No,2.88,1,842,Fitness,Customer 500,customer500,No,3,Default
CUST0501,Female,50,4,Yes,19.13,1,756,Fitness,Customer 501,user_501,No,3,Default
CUST0502,Male,47,5,Yes,16.97,1,773,Bookworm,Customer 502,user_502,Yes,6,4
CUST0503,Female,53,7,No,14.46,1,345,Always learning,Customer 503,user_503,No,6,1
CUST0504,Male,26,5,Yes,5.64,2,239,Traveler,Customer 504,user_504,No,7,8
CUST0505,Male,62,3,No,13.48,2,593,Fitness enthusiast,Customer 505,user_505,Yes,7,Default
CUST0506,Male,41,1,Yes,19.44,2,549,Traveler,Customer 506,user_506,No,1,Default
CUST0507,Male,27,2,No,5.92,3,328,Foodie,Customer 507,user_507,Yes,9,5
CUST0508,Male,36,4,No,15.07,4,455,Creative thinker who enjoys innovation and challenges,Customer 508,user_508,Yes,0,9
CUST0509,Male,46,5,No,1.66,4,32,Fitness fanatic with a love for outdoor adventures,Customer 509,user_509,Yes,5,10
CUST0510,Male,48,7,No,6.44,5,210,Passionate about sustainable living and healthy eating,Customer 510,user_510,Yes,6,9
CUST0511,Female,47,5,Yes,12.38,3,802,Love,Customer 511,user_511,Yes,6,3
CUST0512,Female,20,5,No,17.68,1,567,,Customer 512,user_512,No,3,2
CUST0513,Male,22,4,Yes,19.1,2,742,Tech geek,Customer 513,user_513,No,8,Default
CUST0514,Male,37,9,No,4.48,2,660,Love,Customer 514,customer514,No,8,9
CUST0515,Female,60,1,No,6.47,2,594,Fitness,Customer 515,user_515,No,9,Default
CUST0516,Male,31,7,No,4.73,1,934,Fitness,Customer 516,user_516,No,10,Default
CUST0517,Male,64,4,Yes,19.33,1,279,Enjoying,Customer 517,user_517,No,6,Default
CUST0518,Female,40,8,Yes,12.86,1,464,Fitness enthusiast,Customer 518,user_518,Yes,5,Default
CUST0519,Female,56,6,No,4.57,1,979,Foodie,Customer 519,user_519,No,6,Default
CUST0520,Male,43,8,No,5.53,2,994,Love exploring new places,Customer 520,user_520,No,1,Default
CUST0521,Male,18,2,Yes,5.81,2,149,Fitness,Customer 521,user_521,No,6,7
CUST0522,Male,42,6,Yes,18.4,1,689,Shopaholic,Customer 522,user_522,Yes,8,11
CUST0523,Female,63,2,Yes,9.9,1,740,Food lover,Customer 523,customer523,No,10,Default
CUST0524,Female,28,9,Yes,7.71,4,857,"Foodie, traveler, and passionate about personal growth",Customer 524,user_524,Yes,5,9
CUST0525,Male,46,9,No,17.25,1,277,Foodie,Customer 525,user_525,No,8,Default
CUST0526,Female,56,7,No,9.21,2,259,Foodie,Customer 526,user_526,No,6,Default
CUST0527,Male,63,2,Yes,19.28,5,641,Always learning and sharing my experiences,Customer 527,user_527,Yes,4,10
CUST0528,Male,25,8,No,10.58,2,772,Shopaholic,Customer 528,user_528,Yes,5,12
CUST0529,Female,58,4,Yes,5.59,1,746,Foodie,Customer 529,user_529,No,10,Default
CUST0530,Male,44,7,No,1.82,4,122,Adventure seeker and nature enthusiast,Customer 530,user_530,Yes,6,6
CUST0531,Female,35,2,No,9.98,2,66,Love,Customer 531,user_531,No,4,Default
CUST0532,Female,41,7,Yes,1.84,4,105,Passionate about sustainable living and healthy eating,Customer 532,user_532,Yes,4,8
CUST0533,Male,59,0,Yes,9.29,2,681,Enjoying,Customer 533,user_533,No,7,12
CUST0534,Male,53,5,Yes,4.26,2,160,Love exploring new places,Customer 534,user_534,Yes,3,Default
CUST0535,Female,41,5,Yes,3.44,2,458,Enjoying,Customer 535,user_535,No,8,11
CUST0536,Male,38,9,Yes,19.99,1,832,Traveler and dreamer,Customer 536,user_536,No,2,3
CUST0537,Male,29,4,Yes,3.48,2,291,Love,Customer 537,user_537,No,6,Default
CUST0538,Male,42,7,No,8.97,4,861,"Avid reader, tech enthusiast, and fitness lover",Customer 538,user_538,Yes,0,5
CUST0539,Male,43,3,No,10.71,1,776,Enjoying,Customer 539,customer539,No,4,Default
CUST0540,Female,55,5,Yes,19.56,2,668,Fitness enthusiast,Customer 540,user_540,Yes,0,4
CUST0541,Male,51,8,Yes,4.32,2,516,Traveler,Customer 541,user_541,No,4,6
CUST0542,Male,59,10,No,12.33,1,871,Shopaholic,Customer 542,user_542,No,3,1
CUST0543,Female,32,8,Yes,2.74,3,995,Love,Customer 543,user_543,Yes,1,7
CUST0544,Female,37,10,No,5.83,1,177,Traveler,Customer 544,customer544,No,6,5
CUST0545,Female,29,3,No,10.93,1,130,Enjoying,Customer 545,user_545,No,9,5
CUST0546,Male,32,3,No,13.55,2,118,Fitness,Customer 546,user_546,No,2,Default
CUST0547,Female,54,8,Yes,2.15,2,831,Bookworm,Customer 547,user_547,No,0,5
CUST0548,Female,44,0,Yes,17.46,1,647,Shopaholic,Customer 548,user_548,No,3,Default
